FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Two or More Races,Total: Two or More Asian
6037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",6,37,108104,1922,1922,6026.437,0.318928119,1922,1123,94,0,592,0,60,53,114,14,39
6037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",6,37,108201,5501,5501,5079.148,1.083055597,5501,2188,325,0,2563,0,164,261,335,41,53
6037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",6,37,108202,7561,7561,3265.522,2.315403392,7561,3228,517,145,3405,0,14,252,790,48,55
6037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",6,37,109100,2738,2738,2620.708,1.044755806,2738,1634,9,6,335,0,691,63,1794,55,0
6037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",6,37,109200,2995,2995,6511.047,0.459987459,2995,1826,65,0,635,41,238,190,1156,82,38
6037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",6,37,109300,3247,3247,6820.031,0.476097573,3247,1785,25,111,517,0,684,125,1497,73,18
6037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",6,37,109400,3959,3959,7943.518,0.498393815,3959,1627,90,42,140,182,1664,214,3039,176,0
6037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",6,37,109500,4821,4821,10452.47,0.461230708,4821,2826,58,0,122,0,1779,36,4517,36,0
6037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",6,37,109601,4938,4938,5774.989,0.85506651,4938,2416,132,0,511,0,1769,110,3034,29,22
6037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",6,37,109603,4476,4476,11605.7,0.385672443,4476,2059,73,26,561,0,1653,104,3028,70,0
6037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",6,37,109604,3088,3088,6807.433,0.453621793,3088,1472,74,60,555,0,812,115,1660,57,17
6037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",6,37,109700,4568,4568,7455.641,0.612690484,4568,2103,796,0,456,0,1143,70,1931,29,30
6037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",6,37,109800,5398,5398,9990.492,0.5403137,5398,2480,210,23,850,0,1701,134,3092,79,70
6037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",6,37,111100,3128,3128,7648.355,0.408976798,3128,1702,78,5,472,0,779,92,1452,36,8
6037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",6,37,111201,3485,3485,4718.779,0.738538557,3485,2407,47,58,541,0,399,33,1082,0,9
6037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",6,37,111202,5329,5329,7393.853,0.720733841,5329,3061,298,16,1152,0,512,290,1515,151,0
6037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",6,37,111204,6153,6153,4836.941,1.272085044,6153,3846,274,51,1354,0,241,387,946,212,18
6037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",6,37,111205,4064,4064,9222.409,0.440665748,4064,1875,442,0,1424,15,255,53,677,10,77
6037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",6,37,111206,4382,4382,4346.408,1.008188841,4382,2742,54,12,557,119,389,509,1275,286,41
6037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",6,37,111301,7151,7151,9254.265,0.772724816,7151,3664,446,0,1531,0,941,569,2487,376,89
6037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",6,37,111302,5325,5325,8881.823,0.599539071,5325,3192,415,0,1166,4,463,85,1138,29,23
6037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",6,37,111400,8066,8066,11528.97,0.699628724,8066,4322,439,66,1355,22,1505,357,2988,239,15
6037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",6,37,113101,3699,3699,4229.253,0.874622585,3699,2810,70,0,592,0,202,25,875,0,0
6037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",6,37,113102,2928,2928,2075.459,1.410772173,2928,2296,75,2,364,14,70,107,361,0,34
6037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",6,37,113211,3929,3929,1397.663,2.81112036,3929,3204,53,13,598,0,59,2,448,2,18
6037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",6,37,113212,3272,3272,8486.746,0.385542327,3272,2023,76,22,732,0,332,87,930,51,21
6037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",6,37,113213,5059,5059,10072.58,0.502254837,5059,2286,241,61,1147,0,941,383,1398,112,0
6037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",6,37,113231,2424,2424,1523.44,1.59113633,2424,1566,318,0,283,0,63,194,254,17,10
6037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",6,37,113232,4358,4358,5463.763,0.797618753,4358,3096,95,2,776,0,170,219,758,32,0
6037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",6,37,113233,7624,7624,17261.5,0.441676564,7624,3158,493,57,945,0,2901,70,4667,45,23
6037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",6,37,113234,4818,4818,12318.47,0.391119959,4818,2243,246,36,842,0,1402,49,2310,2,0
6037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",6,37,113235,1834,1834,3313.257,0.553533839,1834,1140,102,39,86,0,229,238,405,107,0
6037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",6,37,113237,4145,4145,2266.685,1.828661754,4145,2563,380,29,497,0,440,236,1048,84,0
6037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",6,37,113301,2960,2960,3398.776,0.870901718,2960,2046,170,2,385,2,176,179,565,122,36
6037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",6,37,113303,4307,4307,2729.034,1.578214262,4307,2756,63,26,730,0,498,234,1322,127,0
6037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",6,37,113321,6420,6420,15860.64,0.404775621,6420,3418,668,0,948,88,921,377,2026,19,0
6037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",6,37,113322,4284,4284,6210.704,0.689776941,4284,2733,51,11,946,0,383,160,1270,55,0
6037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",6,37,113401,6284,6284,6638.132,0.946651876,6284,2614,145,21,1223,4,1842,435,2447,99,28
6037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",6,37,113421,6810,6810,8028.85,0.848191189,6810,2189,480,10,1003,40,2942,146,3863,91,123
6037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",6,37,113422,6385,6385,10861.58,0.587852144,6385,3635,318,26,1133,0,1044,229,2669,61,18
6037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",6,37,115101,5060,5060,3375.589,1.498997679,5060,3070,284,34,558,6,687,421,1263,149,0
6037115103,Census Tract 1151.03,"Census Tract 1151.03, Los Angeles County, California",6,37,115103,3393,3393,5786.583,0.586356385,3393,1533,468,4,621,26,481,260,1204,85,15
