FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6065043250,"Census Tract 432.50, Riverside County, California","Census Tract 432.50, Riverside County, California",6,65,43250,8692,2805,2598,1826,772
6065043252,"Census Tract 432.52, Riverside County, California","Census Tract 432.52, Riverside County, California",6,65,43252,7645,2201,2035,1647,388
6065043254,"Census Tract 432.54, Riverside County, California","Census Tract 432.54, Riverside County, California",6,65,43254,4950,1656,1579,979,600
6065043256,"Census Tract 432.56, Riverside County, California","Census Tract 432.56, Riverside County, California",6,65,43256,3276,1043,969,731,238
6065043257,"Census Tract 432.57, Riverside County, California","Census Tract 432.57, Riverside County, California",6,65,43257,7072,2428,2155,1872,283
6065043262,"Census Tract 432.62, Riverside County, California","Census Tract 432.62, Riverside County, California",6,65,43262,5126,1750,1557,1353,204
6065043264,"Census Tract 432.64, Riverside County, California","Census Tract 432.64, Riverside County, California",6,65,43264,7484,2287,2145,1614,531
6065043265,"Census Tract 432.65, Riverside County, California","Census Tract 432.65, Riverside County, California",6,65,43265,6377,1772,1772,1409,363
6065043266,"Census Tract 432.66, Riverside County, California","Census Tract 432.66, Riverside County, California",6,65,43266,5327,1909,1731,539,1192
6065043267,"Census Tract 432.67, Riverside County, California","Census Tract 432.67, Riverside County, California",6,65,43267,6403,2298,2156,1851,305
6065043270,"Census Tract 432.70, Riverside County, California","Census Tract 432.70, Riverside County, California",6,65,43270,5236,1723,1619,1155,464
6065043271,"Census Tract 432.71, Riverside County, California","Census Tract 432.71, Riverside County, California",6,65,43271,3850,1134,1069,834,235
6065043272,"Census Tract 432.72, Riverside County, California","Census Tract 432.72, Riverside County, California",6,65,43272,5068,1947,1585,1368,217
6065043274,"Census Tract 432.74, Riverside County, California","Census Tract 432.74, Riverside County, California",6,65,43274,2305,679,622,454,168
6065043276,"Census Tract 432.76, Riverside County, California","Census Tract 432.76, Riverside County, California",6,65,43276,3491,1074,1059,851,208
6065043278,"Census Tract 432.78, Riverside County, California","Census Tract 432.78, Riverside County, California",6,65,43278,6789,1949,1880,1636,244
6065043279,"Census Tract 432.79, Riverside County, California","Census Tract 432.79, Riverside County, California",6,65,43279,5002,1931,1668,1427,241
6065043291,"Census Tract 432.91, Riverside County, California","Census Tract 432.91, Riverside County, California",6,65,43291,8099,3393,3150,2059,1091
6065043304,"Census Tract 433.04, Riverside County, California","Census Tract 433.04, Riverside County, California",6,65,43304,6704,2711,2402,2145,257
6065043306,"Census Tract 433.06, Riverside County, California","Census Tract 433.06, Riverside County, California",6,65,43306,4885,1918,1753,1232,521
